job_title,job_skills,cleaned_skills
Senior Machine Learning Engineer,"Machine Learning, Programming, Python, Scala, Java, Data Engineering, Distributed Computing, Statistical Modeling, Optimization, Data Pipelines, Cloud Computing, DevOps, Software Development, Data Gathering, Data Preparation, Data Visualization, Machine Learning Frameworks, scikitlearn, PyTorch, Dask, Spark, TensorFlow, Distributed File Systems, Multi node Database Paradigms, Open Source ML Software, Responsible AI, Explainable AI","ai, java, machine learning, python, pytorch, spark, tensorflow"
"Principal Software Engineer, ML Accelerators","C++, Python, PyTorch, TensorFlow, MXNet, CUDA, OpenCL, OpenVX, Halide, SIMD programming models, MLspecific accelerators, Linux/unix environments, Deep learning frameworks, Computer vision deep learning models, ML software and hardware technology, Inference on edge platforms, Cloud ML training pipelines, HPC experience, Performance troubleshooting, Profiling, Roofline model, Analytical skills, Communication skills","c++, computer vision, deep learning, linux, python, pytorch, tensorflow"
Senior ETL Data Warehouse Specialist,"ETL, Data Integration, Data Transformation, Data Warehousing, Business Intelligence, Data Modeling, Data Architecture, Data Quality, Data Validation, Data Cleansing, Performance Optimization, Performance Tuning, Troubleshooting, Documentation, Reporting, Data Analysis, Collaboration, Communication, SQL, Informatica, Talend, Apache NiFi, AWS Redshift, Azure SQL Data Warehouse, Financial/Banking, CloudBased Data Platforms, Regulatory Compliance","apache, aws, azure, data modeling, data warehouse, etl, sql, talend"
Senior Data Warehouse Developer / Architect,"Data Lakes, Data Bricks, Azure Data Factory Pipelines, Spark, Python, Business Intelligence, Data Warehouse, SQL Server, Azure, ETL/ELT, SQL Server Integration Services, TSQL, Data Formatting, Data Capture, Data Search, Data Retrieval, Data Extraction, Data Classification, Information Filtering, Data Mining Architectures, Modeling Standards, Reporting, Data Analysis Methodologies, Data Engineering, Database File Systems Optimization, API's, Analytics as a Service, Relational Databases, Dimensional Databases, Entity Relationships, Data Warehousing, Facts, Dimensions, Star Schema Concepts, Star Schema Terminology, Project Management, Organizational Skills, Collaboration, Communication, Technical Presentaion Skills, 12+ Years of Relevant Experience","azure, data warehouse, elt, etl, python, spark, sql server"
Lead Data Engineer,"Java, Scala, Python, RDBMS, NoSQL, Redshift, Snowflake, Unit testing, Agile engineering, Big data technologies, Cloud computing (AWS Microsoft Azure Google Cloud), Distributed data/computing tools (MapReduce Hadoop Hive EMR Kafka Spark Gurobi MySQL), Realtime data and streaming applications, NoSQL implementation (Mongo Cassandra), Data warehousing (Redshift Snowflake), UNIX/Linux, Shell scripting","agile, aws, azure, cassandra, google cloud, hadoop, hive, java, kafka, linux, mysql, python, spark"
Senior Data Engineer,"Data Warehouse (DW), Extract/Transform/Load (ETL), Oracle, VPD, MuleSoft, Cloudera Apache Hadoop Ecosystem, Hadoop, Java, Python, R, AI/ML, Predictive Analytics, Business Objects, Tableau, OBIA/OBIEE, Oracle Cloud Financials, Power Designer, Erwin, UNIX, ODBC, JDBC, Perl DBI, Shell Scripting, PL/SQL, SQL Developer, SQL Plus, SQL Loader, TOAD, Data Profiling, SourceTarget Mapping, Transformations, Business Rules, OWB, ODI, Data Stage, Informatica, SQL, Unix Server, Windows Workstation, Windows Server, Microsoft Office, Excel, Analytic Skills, ProblemSolving, Communication Skills, Teamwork, Accountability, Attention to Detail, Accuracy","ai, apache, data warehouse, etl, excel, hadoop, java, oracle, pl/sql, python, sql, tableau, windows server"
"Manager, Cyber Risk & Analysis (Machine Learning)","Machine Learning, Generative AI, Cloudbased services, Risk management, Project management, Process management, Data model, PRIME system, Lean, Green Belt Certification, CRISC, CISM, CRCM, CIPP, ABA Risk Management Certification, Compliance, Legal, Regulatory, Operations, Cybersecurity","ai, cism, machine learning"
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, Web Proxy, Email, Endpoint Solutions, Symantec Data Loss Prevention (DLP), Agile Delivery, Public Cloud Security, MultiCloud Environments, IT Delivery Projects, JIRA, Cloud Certifications (AWS), Security Certifications (CISSP), Computer Science, Systems Engineering, Software Development Practices, Platform Engineering","agile, aws, cissp, jira"
Senior Financial Data Analyst,"Problem solving, Data analysis, Predictive analysis, Trend identification, Performance monitoring, Communication, Reporting, Financial risk management, Business process analysis, Excel, Visio, Smartsheet, SNOW, SAP, Tableau, SQL, R, Power BI, Collaboration, Leadership, Bachelor's degree, Professional certification, Graduate degree","excel, power bi, sap, sql, tableau"
Machine Learning Infrastructure Engineer,"Machine Learning, System Design, Multimodal Input, Prototyping, Data Management, Scalability, Reliability, Performance, DevOps, Python, C++, Distributed Systems, Infrastructure Design, Complex Systems, Software Engineering, ML Pipeline Automation, ML Workflows, ML Systems","c++, machine learning, python"
Sr. Workforce Management Data Analyst,"SQL, Database Administration, Advanced Statistical Analysis, Predictive Analytics, Forecasting Techniques, Data Abnormalities Detection, Contact Workforce Management, Crossfunctional Collaboration, Performance Analytics, Business Intelligence, Root Cause Analysis, Forecasting and Scheduling, Service Level Management, Hindsight Analysis, Business Communication, Problemsolving, Decisionmaking, Excel, ACD, BackOffice Work Routing, WFM Software, Bachelor's degree in business accounting finance statistics or economics","excel, sql"
Master Data Management - Data/Process Analyst,"Master Data Analyst, Data/Master Data Experience, Polished People/Senior Stakeholder Engagement, Data Cleansing, Data Ingestion Pipelines, Business Process Workflow, Data Matching & Deduplication, Standardization, SemiAgile Delivery Framework, MDM Strategies, MDM Policies, MDM Functional Implementation, MDM Requirement Analysis, Deterministic Matching, Probabilistic Matching, Master Data Hierarchy Management, HighLevel Design, Data Profiling, Data Scorecard Development, Exception Management, LargeScale MDM Project Implementation, Thought Leadership, Data Quality Analysis, Data Governance Policies, Data Transformation, ETL Flows, SourcetoTarget Mapping, Requirements Gathering, Agile/Waterfall SDLC, Time Management, Business Communication, Analytical Skills, ProblemSolving, Informatica MDM/DG, SAP MDM, Data Enrichment, Dun & Bradstreet, SQL","agile, etl, sap, sdlc, sql, waterfall"
Sr. Database Administrator,"SQL, AWS, DBA case tools, SQL Server, SQL programming, Scripts, Structured query language, Algorithmic thinking, Programming languages API, Data backup, Data recovery, Data security, Data integrity, Database standards, End user applications, Database design, Database documentation, Database coding, Problemsolving, Attention to detail, Accuracy, Communication skills, Interpersonal skills","aws, sql, sql server"
Senior MLOps Engineer,"Machine Learning Operations (ML Ops), Engineering, Evaluation Experimentation, Monitoring Processes, ML Workflows, Data Engineering, ETL Pipelines, LLMs, NLP, Reinforcement Learning, Probabilistic Graphs, Deep Learning, Autonomy, Flexibility, Teamfirst Mentality, Mentoring, NYCbased, Hiring, Financial Workflows, Product Ownership","deep learning, etl, machine learning, nlp"
Data Engineer Manager,"Data Engineering, Data Analytics, Data Warehousing, Data Modelling, Data Pipeline Design, ETL (Extract Transform Load), Cloud Computing, Data Lake, Data Strategy, Data Management, Data Governance, SQL, Python, Advanced Statistics, Machine Learning, Team Leadership, Business Requirements Gathering, Business Intelligence, Reporting, Data Visualization, Data Quality, Data Security, Full UK Driving Licence","etl, machine learning, python, sql"
Data Analyst Part Time,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making","data modeling, etl, machine learning, power bi, python, sql, tableau"
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,"Hardware Validation, ML/AI Frameworks, Test Execution, Automation Development, Debugging, GPU, HighPerformance Computing, Python, Linux, C/C++, Schematics, Circuit Design, Data Traffic Management, Electrical Laboratory Equipment, Computer Architecture, Processors, Interconnects, Firmware, ML/AI Models, Workloads","ai, c/c++, linux, python"
